direccion_estacion;margen_estacion;tipo_estacion;horario_estacion;latitud_estacion;longitud_estacion;nombre_localidad;nombre_empresa
CARRETERA MADRID CARTAGENA KM. 209;N;Terrestre;L-D: 06:00-22:00;39.212361;-2.171028;RODA (LA);BP CASA JUANITO RESTAURANTE
MARTIRES 209;D;Terrestre;"L-V: 07:00-21:00; S: 09:00-13:00";39.212861;-2.171778;RODA (LA);CEPSA
AVENIDA DE LA PAZ, 3;D;Terrestre;"L-S: 06:00-22:00; D: 06:30-22:00";38.331361;-1.981861;SOCOVOS;NAVARRO Y VALERO, S.L
CARRETERA VILLAGARCIA KM. 0,1;I;Terrestre;L-D: 24H;39.270556;-1.908778;TARAZONA DE LA MANCHA;COOP. LA UNION AB
AVENIDA ALBACETE, 35;D;Terrestre;L-D: 24H;39.256194;-1.912194;TARAZONA DE LA MANCHA;LA GAVIOTA GASOLINERAS
CL AVENIDA DE LA RODA, 1;I;Terrestre;L-D: 07:00-23:00;39.25975;-1.911389;TARAZONA DE LA MANCHA;REPSOL
AVENIDA GUARDIA CIVIL, 233;D;Terrestre;L-D: 24H;38.602278;-1.680917;TOBARRA;REPSOL
AVENIDA GUARDIA CIVIL, 114;D;Terrestre;L-D: 07:00-22:00;38.594639;-1.685417;TOBARRA;E.S. TOBARRA
AVENIDA GUARDIA CIVIL, 162;D;Terrestre;L-D: 06:00-23:00;38.601722;-1.680833;TOBARRA;NTRA. SRA. DE LA ENCARNACION
CAMINO CAMINO DEL GUIJARRAL, 0;I;Terrestre;L-D: 06:00-22:00;38.603306;-1.694083;TOBARRA;SAN ROQUE DE TOBARRA S. COOP. DE C-LM
CALLE SANTA CRUZ, 16;D;Terrestre;L-D: 24H;39.137222;-1.680944;VALDEGANGA;NO HAY
CARRETERA CM-3114 KM. 12,7;I;Terrestre;L-D: 07:30-21:30;39.302389;-2.067639;VILLALGORDO DEL JUCAR;E.S EL GORRION
CALLE DEL VINO, 10;N;Terrestre;L-D: 24H;39.2935;-2.059556;VILLALGORDO DEL JUCAR;SAN ISIDRO
CARRETERA CM-3201 KM. 22,70;D;Terrestre;"L-S: 07:00-21:00; D: 07:00-14:00";39.366861;-1.592778;VILLAMALEA;REPSOL
CARRETERA CENIZATE KM. 1,5;D;Terrestre;L-D: 00:00-23:59;39.35025;-1.613194;VILLAMALEA;CHAMPINTER
CALLE VALENCIA, 41;I;Terrestre;L-D: 24H;39.367333;-1.59325;VILLAMALEA;BODEGAS SAAC
CARRETERA DE ALBACETE, 14 KM. 0;D;Terrestre;L: 24H;38.575556;-2.630167;VILLAPALACIOS;SIERRA DE ALCARAZ
CR N-322, 258,8;D;Terrestre;L-D: 07:00-21:00;38.581722;-2.626222;VILLAPALACIOS;REPSOL
CALLE NOBEL, 64;N;Terrestre;L-S: 08:00-20:00;39.283917;-2.583361;VILLARROBLEDO;COMBUSTIBLES DISPROSIO S.L.
AUTOVIA A-43 KM. 129;D;Terrestre;L-D: 24H;39.258778;-2.586778;VILLARROBLEDO;REPSOL
CALLE DOS DE MAYO, 167;I;Terrestre;L-D: 06:00-00:00;39.278222;-2.602028;VILLARROBLEDO;REPSOL
AVENIDA REYES CATOLICOS, S/N;N;Terrestre;L-D: 06:00-22:00;39.276944;-2.590028;VILLARROBLEDO;AVIA
AVENIDA REYES CATÓLICOS (APARCAMIENTO DEL CARREFOUR), S/N;N;Terrestre;L-S: 08:00-22:00;39.285722;-2.579639;VILLARROBLEDO;CARREFOUR
AVENIDA REYES CATOLICOS, 133;D;Terrestre;L-D: 06:00-22:00;39.277056;-2.591722;VILLARROBLEDO;BP VILLARROBLEDO
CARRETERA NACIONAL 310 KM. 137,7;I;Terrestre;L-S: 07:00-22:00;39.293722;-2.567139;VILLARROBLEDO;REPSOL
CARRETERA OSSA DE MONTIEL KM. 21;I;Terrestre;"L-S: 06:00-22:00; D: 06:00-15:00";39.257528;-2.613778;VILLARROBLEDO;REPSOL
AVENIDA REYES CATOLICOS, 26;D;Terrestre;"L-V: 07:00-21:00; S: 08:00-13:00";39.261472;-2.599417;VILLARROBLEDO;CEPSA
AUTOVIA A-43 KM. 390;I;Terrestre;L-D: 06:00-23:59;39.205194;-2.708528;VILLARROBLEDO;CEPSA
CARRETERA N-310 KM. 120,5;D;Terrestre;"L-V: 07:00-21:00; D: 14:00-21:00";39.198;-2.713722;VILLARROBLEDO;CEPSA
CARRETERA DE LAS MESAS KM. 005;N;Terrestre;L-D: 06:00-22:30;39.27225;-2.617083;VILLARROBLEDO;ESTACIÓN DE SERVICIO LOS VIÑEDOS
CALLE FERNANDO ZEPPELIN, 13;D;Terrestre;L-D: 00:00-23:59;39.268472;-2.587083;VILLARROBLEDO;MOLGAS
CALLE GENERAL MARTI, 2;D;Terrestre;L-D: 24H;39.266417;-2.596944;VILLARROBLEDO;PLENOIL
AVENIDA REYES CATOLICOS, 150;D;Terrestre;L-D: 24H;39.278333;-2.590194;VILLARROBLEDO;PAÑALON
CARRETERA MUNERA KM. 0,500;I;Terrestre;L-D: 24H;39.250806;-2.601028;VILLARROBLEDO;VINICOLA DE VILLARROBLEDO
CALLE ARQUIMEDES, 62;N;Terrestre;L-S: 07:00-22:00;39.282167;-2.583778;VILLARROBLEDO;COMBUSTIBLES FIEL, S.L.
CARRETERA DE HELLIN KM. 42;I;Terrestre;L-D: 07:00-21:00;38.368667;-2.314667;YESTE;CEPSA
CARRETERA SAN VICENTE - AGOST KM. 11;N;Terrestre;L-D: 06:00-22:00;38.434417;-0.63725;AGOST;PETRONOR
CARRETERA AGOST-NOVELDA KM 2 KM. 2;I;Terrestre;L-D: 06:00-22:00;38.429417;-0.66225;AGOST;CEPSA
AUTOPISTA AP 7 KM. 696;I;Terrestre;L-D: 24H;38.408861;-0.599444;AGOST;GALP
AUTOPISTA AP 7 KM. 696;D;Terrestre;L-D: 24H;38.406528;-0.599972;AGOST;GALP
CALLE POLIGONO INDUSTRIAL MOS DEL BOU, CALLE EL ESPARTO, 5;D;Terrestre;L-D: 24H;38.168111;-0.889167;ALBATERA;SUVER GASOLEOS 
CARRETERA CATRAL-ALBATERA KM. 4,2;I;Terrestre;L-D: 24H;38.175028;-0.854056;ALBATERA;REPSOL
CARRETERA N-340 KM. 702,1;D;Terrestre;L-D: 06:00-22:00;38.199389;-0.848833;ALBATERA;FTH
CARRETERA N-340 KM. 696,7;D;Terrestre;L-V: 06:00-22:00;38.165222;-0.89475;ALBATERA;REPSOL
N-340 km 696,7;I;Terrestre;L-D: 24H;38.199417;-0.848722;ALBATERA;REPSOL
